id,original_question,original_answer,clean_question,clean_answer,combined_text,entities,intent,source,url,text_length,word_count,entity_count,processed_at
0,What are the symptoms of heart disease?,"The main symptoms of heart disease include swelling, loss of smell. These symptoms may vary in severity and it's important to consult a healthcare provider for proper diagnosis and treatment planning.",symptom heart disease,main symptom heart disease include swelling loss smell symptom vary severity important consult healthcare provider proper diagnosis treatment planning,symptom heart disease main symptom heart disease include swelling loss smell symptom vary severity important consult healthcare provider proper diagnosis treatment planning,"{'diseases': ['heart disease'], 'symptoms': ['swelling'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,172,22,2,2025-07-19T20:32:56.906203
1,What are the early warning signs of heart disease?,"Early warning signs of heart disease may include fever, vomiting. These symptoms can develop gradually or suddenly depending on the individual case.",early warning sign heart disease,early warning sign heart disease include fever vomiting symptom develop gradually suddenly depending individual case,early warning sign heart disease early warning sign heart disease include fever vomiting symptom develop gradually suddenly depending individual case,"{'diseases': ['heart disease'], 'symptoms': ['fever', 'vomiting'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,149,20,3,2025-07-19T20:32:56.907599
2,What are the early warning signs of influenza?,"Early warning signs of influenza may include nausea, abdominal pain. These symptoms can develop gradually or suddenly depending on the individual case.",early warning sign influenza,early warning sign influenza include nausea abdominal pain symptom develop gradually suddenly depending individual case,early warning sign influenza early warning sign influenza include nausea abdominal pain symptom develop gradually suddenly depending individual case,"{'diseases': ['flu', 'influenza'], 'symptoms': ['abdominal pain', 'nausea'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,148,19,4,2025-07-19T20:32:56.908364
3,What are the symptoms of pandemic?,"The main symptoms of pandemic include headache, cough. These symptoms may vary in severity and it's important to consult a healthcare provider for proper diagnosis and treatment planning.",symptom pandemic,main symptom pandemic include headache cough symptom vary severity important consult healthcare provider proper diagnosis treatment planning,symptom pandemic main symptom pandemic include headache cough symptom vary severity important consult healthcare provider proper diagnosis treatment planning,"{'diseases': ['pandemic'], 'symptoms': ['headache', 'cough'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,157,19,3,2025-07-19T20:32:56.909207
4,What are the early warning signs of stroke?,"Early warning signs of stroke may include constipation, headache. These symptoms can develop gradually or suddenly depending on the individual case.",early warning sign stroke,early warning sign stroke include constipation headache symptom develop gradually suddenly depending individual case,early warning sign stroke early warning sign stroke include constipation headache symptom develop gradually suddenly depending individual case,"{'diseases': ['stroke'], 'symptoms': ['constipation', 'headache'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,142,18,3,2025-07-19T20:32:56.909918
5,What signs should I look for with tuberculosis?,"Common signs of tuberculosis include muscle pain, chills, chest pain. If you experience muscle pain along with other symptoms, seek medical attention promptly.",sign look tuberculosis,common sign tuberculosis include muscle pain chill chest pain experience muscle pain symptom seek medical attention promptly,sign look tuberculosis common sign tuberculosis include muscle pain chill chest pain experience muscle pain symptom seek medical attention promptly,"{'diseases': ['tuberculosis'], 'symptoms': ['chest pain', 'muscle pain'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,147,20,3,2025-07-19T20:32:56.910642
6,What are the early warning signs of asthma?,"Early warning signs of asthma may include constipation, diarrhea, joint pain. These symptoms can develop gradually or suddenly depending on the individual case.",early warning sign asthma,early warning sign asthma include constipation joint pain symptom develop gradually suddenly depending individual case,early warning sign asthma early warning sign asthma include constipation joint pain symptom develop gradually suddenly depending individual case,"{'diseases': ['asthma'], 'symptoms': ['joint pain', 'constipation'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,144,19,3,2025-07-19T20:32:56.911312
7,How does tuberculosis present in patients?,"tuberculosis typically presents with symptoms such as runny nose, sore throat. Early recognition of these symptoms is crucial for timely medical intervention and better outcomes.",tuberculosis present patient,tuberculosis typically present symptom runny nose sore throat early recognition symptom crucial timely medical intervention better outcome,tuberculosis present patient tuberculosis typically present symptom runny nose sore throat early recognition symptom crucial timely medical intervention better outcome,"{'diseases': ['tuberculosis'], 'symptoms': ['sore throat', 'runny nose'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,167,20,3,2025-07-19T20:32:56.912096
9,How does asthma present in patients?,"asthma typically presents with symptoms such as diarrhea, constipation. Early recognition of these symptoms is crucial for timely medical intervention and better outcomes.",asthma present patient,asthma typically present symptom diarrhea constipation early recognition symptom crucial timely medical intervention better outcome,asthma present patient asthma typically present symptom diarrhea constipation early recognition symptom crucial timely medical intervention better outcome,"{'diseases': ['asthma'], 'symptoms': ['diarrhea', 'constipation'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,154,18,3,2025-07-19T20:32:56.913133
10,How does malaria present in patients?,"malaria typically presents with symptoms such as runny nose, sweating. Early recognition of these symptoms is crucial for timely medical intervention and better outcomes.",malaria present patient,malaria typically present symptom runny nose sweating early recognition symptom crucial timely medical intervention better outcome,malaria present patient malaria typically present symptom runny nose sweating early recognition symptom crucial timely medical intervention better outcome,"{'diseases': ['malaria'], 'symptoms': ['sweating', 'runny nose'], 'treatments': [], 'prevention': [], 'patient_types': [], 'food_recommendations': []}",DiseaseToSymptom,Synthetic,,154,19,3,2025-07-19T20:32:56.913767
